cylinder,displacement,horsepower,weight,acceleration,mpg
8,	307,	200,	4376,	15,	10
8,	318,	210,	4382,	13.5,	11
8,	304,	193,	4732,	18.5,	9
8,	429,	208,	4633,	11,	11
8,	360,	170,	4654,	13,	13
8,	350,	180,	3664,	11,	11
6,	198,	95,	3102,	16.5,	20
4,	98,	60,	2164,	22.1,	24.5
8,	400,	190,	4325,	12.2,	15.5
4,	85,	70,	2070,	18.6,	39.4
4,	151,	85,	2855,	17.6,	23.8
6,	231,	115,	3245,	15.4,	21.5
8,	351,	142,	4054,	14.3,	15.5
8,	267,	125,	3605,	15,	19.2
8,	360,	150,	3940,	13,	18.5
4,	122,	88,	2500,	15.1,	35
6,	146,	120,	2930,	13.8,	24.2
4,	91,	67,	1965,	15.7,	32
4,	91,	67,	1995,	16.2,	38
4,	144,	96,	2665,	13.9,	32
4,	97,	52,	2130,	24.6,	44
4,	135,	84,	2295,	11.6,	32
4,	120,	79,	2625,	18.6,	28

